estimated_duration_hours,difficulty_score,priority_score,task_type_score,subject_has_events,hours_until_next_subject_event,day_load_score,free_hours_today,days_until_deadline,recommended_deadline_hours,data_source
2,5,3,4,1,72,20,5,4,48,synthetic
1,5,1,5,1,36,64,2,1,24,synthetic
1,4,2,3,1,24,5,1,10,30,synthetic
4,1,3,1,0,0,74,4,10,60,synthetic
1.5,3,2,4,0,0,88,6,2,24,synthetic
1,4,1,3,0,0,57,1,4,48,synthetic
2,4,2,2,1,36,0,4,2,24,synthetic
6,3,4,2,1,72,94,4,5,82,synthetic
1,4,4,4,1,6,84,3,1,16,synthetic
5,4,1,4,0,0,46,6,14,105,synthetic
2,4,3,2,1,36,62,3,1,24,synthetic
5,4,3,3,0,0,57,1,5,102,synthetic
1.5,3,3,3,1,24,59,6,2,24,synthetic
3,5,1,4,0,0,68,2,3,48,synthetic
5,1,4,5,1,18,67,5,2,22,synthetic
1.5,1,4,4,1,6,25,2,5,12,synthetic
3,1,3,1,0,0,53,6,4,48,synthetic
5,2,4,3,0,0,93,6,10,77,synthetic
0.5,1,3,4,1,12,86,5,1,22,synthetic
6,4,2,1,1,36,30,5,5,34,synthetic
3,5,2,2,0,0,11,2,2,24,synthetic
3,1,2,4,0,0,4,7,3,48,synthetic
5,3,4,4,0,0,87,2,2,24,synthetic
4,3,4,5,1,72,86,7,3,48,synthetic
1,4,1,3,0,0,61,5,4,48,synthetic
1,2,3,3,0,0,20,5,2,24,synthetic
1,5,4,3,0,0,98,5,5,85,synthetic
0.5,4,2,3,1,24,37,4,5,22,synthetic
1,4,1,2,0,0,53,6,10,83,synthetic
1.5,1,1,5,1,18,58,4,5,22,synthetic
4,5,4,4,0,0,72,3,1,24,synthetic
1.5,4,2,5,1,12,55,2,2,18,synthetic
1.5,4,3,2,0,0,81,7,10,83.0,synthetic
6,4,1,4,0,0,26,3,5,109,synthetic
1.5,2,4,4,1,6,66,2,2,18,synthetic
5,5,1,3,1,12,2,6,14,10,synthetic
0.5,1,3,3,1,36,44,7,5,34,synthetic
0.5,1,2,2,0,0,27,5,1,24,synthetic
0.5,3,3,1,1,24,5,5,5,22,synthetic
4,5,4,3,0,0,81,4,1,24,synthetic
6,4,3,4,0,0,36,3,7,95,synthetic
3,5,1,5,1,36,81,7,1,24,synthetic
1.5,5,1,4,0,0,8,2,7,107.0,synthetic
1,3,3,2,1,18,23,1,10,24,synthetic
5,1,1,4,1,48,78,1,1,24,synthetic
1,5,1,4,0,0,83,5,2,24,synthetic
1.5,1,4,3,0,0,87,1,14,63.0,synthetic
3,1,3,2,1,24,85,2,14,42,synthetic
1,2,4,3,1,18,14,4,3,16,synthetic
0.5,1,4,2,0,0,7,4,14,36.0,synthetic
1.5,4,2,3,1,6,1,3,14,4,synthetic
3,5,1,3,1,18,32,3,2,16,synthetic
6,4,4,1,0,0,39,6,14,79,synthetic
3,5,2,2,0,0,50,6,4,48,synthetic
4,1,3,3,0,0,87,7,1,24,synthetic
6,1,3,4,0,0,96,4,4,48,synthetic
6,1,2,5,0,0,40,6,7,81,synthetic
5,4,4,3,1,6,10,7,3,4,synthetic
6,1,3,3,1,18,26,4,10,16,synthetic
0.5,4,2,5,1,6,23,6,5,4,synthetic
3,3,2,1,0,0,14,1,3,48,synthetic
4,1,3,2,0,0,78,5,2,24,synthetic
1.5,3,4,1,0,0,95,5,5,65.0,synthetic
1.5,4,1,3,1,36,65,7,10,40,synthetic
6,2,2,4,1,48,25,2,4,48,synthetic
0.5,2,1,5,1,48,80,7,1,24,synthetic
3,1,3,5,0,0,34,5,10,62,synthetic
2,4,4,5,1,6,30,2,10,12,synthetic
6,1,1,2,0,0,33,6,10,79,synthetic
4,1,1,3,0,0,57,6,14,80,synthetic
0.5,5,1,5,1,18,14,6,10,16,synthetic
6,2,3,2,1,18,90,7,1,24,synthetic
1,2,1,3,0,0,36,5,3,48,synthetic
3,1,3,5,1,36,71,7,4,40,synthetic
1,5,2,5,0,0,67,7,14,99,synthetic
5,2,1,1,0,0,47,6,7,80,synthetic
5,1,4,5,0,0,5,1,1,24,synthetic
5,4,1,4,0,0,17,5,4,48,synthetic
0.5,4,3,1,0,0,18,6,5,64.0,synthetic
3,3,1,3,0,0,6,3,14,86,synthetic
1,1,2,3,1,24,49,1,2,24,synthetic
0.5,3,2,1,1,48,5,4,2,24,synthetic
2,5,1,1,1,12,71,4,5,16,synthetic
3,2,2,1,0,0,5,6,14,65,synthetic
6,2,2,2,0,0,13,7,4,48,synthetic
5,3,4,4,0,0,92,3,2,24,synthetic
1.5,4,3,1,1,18,20,2,10,24,synthetic
3,5,1,5,0,0,53,5,5,108,synthetic
0.5,3,3,1,1,24,67,4,5,28,synthetic
0.5,4,4,2,1,48,41,7,10,46,synthetic
0.5,1,3,2,1,24,15,5,1,22,synthetic
0.5,2,3,4,0,0,56,1,2,24,synthetic
2,4,2,3,1,48,23,4,4,46,synthetic
0.5,4,4,3,1,24,63,6,7,28,synthetic
4,5,4,4,0,0,9,1,5,96,synthetic
1.5,4,3,5,0,0,37,4,7,80.0,synthetic
1,2,2,2,1,36,92,5,3,46,synthetic
1,2,2,3,1,18,81,2,7,36,synthetic
2,2,4,3,0,0,47,4,2,24,synthetic
4,5,3,5,0,0,85,3,7,110,synthetic
3,4,1,2,1,12,90,5,10,22,synthetic
0.5,5,3,4,0,0,82,3,5,93.0,synthetic
2,4,4,5,1,48,9,2,7,54,synthetic
2,4,3,3,1,72,18,7,2,24,synthetic
6,3,3,1,0,0,86,2,2,24,synthetic
6,5,3,4,1,18,38,5,5,16,synthetic
2,2,2,1,0,0,19,6,4,48,synthetic
1,2,3,1,0,0,38,1,14,58,synthetic
2,3,1,2,0,0,3,6,1,24,synthetic
3,2,4,1,1,24,62,1,4,36,synthetic
1,3,1,2,1,12,3,4,10,10,synthetic
1,4,3,5,0,0,89,5,3,48,synthetic
0.5,1,3,4,1,72,50,1,14,57.0,synthetic
0.5,3,1,1,0,0,93,1,2,24,synthetic
1.5,4,2,5,0,0,4,1,7,95.0,synthetic
1.5,4,2,3,0,0,52,3,7,81.0,synthetic
5,5,2,5,1,48,36,3,4,46,synthetic
1.5,5,3,2,1,36,17,6,7,34,synthetic
6,3,1,3,1,12,91,5,2,22,synthetic
5,3,3,4,0,0,55,7,1,24,synthetic
4,2,4,3,0,0,97,2,7,81,synthetic
0.5,5,2,2,1,24,44,7,5,22,synthetic
1,2,1,4,0,0,2,1,3,48,synthetic
0.5,5,1,2,1,48,51,6,4,46,synthetic
0.5,2,3,1,0,0,91,7,2,24,synthetic
3,3,1,4,1,24,48,3,14,22,synthetic
2,5,1,5,0,0,8,3,2,24,synthetic
1.5,1,4,3,0,0,95,4,3,48,synthetic
2,1,3,3,1,36,63,6,14,40,synthetic
1,4,2,4,0,0,48,1,14,90,synthetic
2,2,3,4,0,0,82,1,3,48,synthetic
0.5,5,1,4,0,0,52,1,4,48,synthetic
3,5,4,1,1,36,34,7,3,34,synthetic
1,1,2,4,1,18,83,2,3,36,synthetic
1,5,2,5,1,12,42,5,7,10,synthetic
1.5,1,1,1,1,36,59,3,14,40,synthetic
5,5,1,5,0,0,97,7,3,48,synthetic
2,4,3,1,0,0,65,5,14,76,synthetic
6,2,3,5,0,0,31,7,14,82,synthetic
5,1,3,1,0,0,72,5,1,24,synthetic
5,2,4,5,1,18,43,6,14,16,synthetic
6,3,3,4,0,0,99,3,4,48,synthetic
3,1,4,1,1,36,58,2,2,24,synthetic
0.5,2,3,1,0,0,5,1,3,48,synthetic
1.5,5,1,5,0,0,53,5,5,102.0,synthetic
0.5,3,1,3,0,0,71,2,1,24,synthetic
4,2,2,1,0,0,69,4,14,75,synthetic
2,2,1,5,0,0,19,3,5,80,synthetic
6,5,4,2,1,18,28,2,2,24,synthetic
1.5,3,4,5,0,0,71,6,3,48,synthetic
5,4,2,4,0,0,99,4,3,48,synthetic
1,4,4,3,0,0,90,1,7,85,synthetic
5,5,3,2,0,0,77,6,4,48,synthetic
1.5,1,1,1,0,0,49,6,7,58.0,synthetic
5,1,3,3,1,36,78,1,5,54,synthetic
0.5,4,3,1,0,0,48,2,4,48,synthetic
1,4,2,3,1,12,75,7,1,16,synthetic
3,3,4,3,1,72,61,5,2,24,synthetic
6,3,2,5,0,0,15,7,14,97,synthetic
5,2,1,3,0,0,97,6,7,98,synthetic
3,5,4,2,1,72,62,5,2,24,synthetic
3,2,2,3,1,36,0,6,2,24,synthetic
4,2,3,3,1,6,72,2,10,18,synthetic
2,2,4,2,0,0,49,3,1,24,synthetic
5,2,1,5,1,12,38,1,7,18,synthetic
1,3,1,1,0,0,58,2,5,86,synthetic
5,1,3,3,0,0,54,1,3,48,synthetic
0.5,5,3,2,1,24,97,6,2,24,synthetic
5,4,3,5,1,72,80,3,3,48,synthetic
2,5,4,5,1,12,34,3,7,10,synthetic
5,2,4,2,1,12,62,4,4,16,synthetic
2,1,3,4,1,6,48,1,1,12,synthetic
4,3,1,2,1,36,81,2,2,24,synthetic
4,3,3,1,0,0,9,1,14,78,synthetic
4,3,1,5,1,24,55,7,2,22,synthetic
3,3,2,3,1,6,59,5,5,10,synthetic
1.5,2,2,3,0,0,48,4,2,24,synthetic
1.5,4,4,1,1,48,70,2,14,60,synthetic
1,5,4,1,1,6,12,3,1,4,synthetic
1,5,2,2,0,0,28,3,1,24,synthetic
1.5,5,3,4,1,12,80,1,7,30,synthetic
0.5,3,2,1,0,0,42,4,14,63.0,synthetic
1,5,1,5,1,18,35,5,5,16,synthetic
3,3,1,3,1,6,96,6,1,16,synthetic
5,5,4,2,0,0,5,5,5,86,synthetic
2,5,3,3,0,0,82,6,2,24,synthetic
5,4,3,4,0,0,84,6,2,24,synthetic
1.5,2,4,2,1,6,62,5,7,10,synthetic
0.5,2,2,4,0,0,0,3,2,24,synthetic
4,1,1,2,0,0,54,5,4,48,synthetic
1,4,3,2,0,0,40,7,3,48,synthetic
3,1,4,5,1,36,46,6,5,34,synthetic
4,4,4,5,1,6,77,1,2,24,synthetic
0.5,1,1,5,1,24,55,6,2,22,synthetic
3,3,1,3,0,0,61,4,2,24,synthetic
0.5,4,3,5,1,6,3,4,10,4,synthetic
2,1,4,4,0,0,33,7,1,24,synthetic
0.5,3,4,3,1,48,61,2,5,60,synthetic
3,2,4,2,0,0,47,1,7,62,synthetic
6,5,1,3,0,0,26,7,7,114,synthetic
5,3,3,3,1,36,37,6,10,34,synthetic
3,4,2,3,1,36,50,6,14,34,synthetic
4,5,2,2,0,0,32,2,2,24,synthetic
6,3,1,5,0,0,51,6,5,104,synthetic
5,4,4,4,0,0,29,7,10,84,synthetic
5,3,3,1,0,0,67,2,4,48,synthetic
1,2,2,1,1,18,39,3,1,16,synthetic
3,1,2,3,0,0,93,2,3,48,synthetic
2,5,4,2,0,0,61,3,3,48,synthetic
1.5,1,1,4,1,6,57,2,1,18,synthetic
6,4,1,2,0,0,4,1,10,111,synthetic
4,4,1,4,0,0,73,4,2,24,synthetic
5,5,4,2,0,0,55,7,14,86,synthetic
1.5,4,3,1,1,36,58,2,5,48,synthetic
0.5,3,3,4,0,0,46,7,5,65.0,synthetic
3,3,4,5,0,0,1,2,3,48,synthetic
1,1,3,5,0,0,35,2,1,24,synthetic
6,3,1,5,0,0,31,2,14,112,synthetic
1,3,2,1,1,6,80,7,3,16,synthetic
1,4,1,4,1,24,53,1,5,30,synthetic
1.5,2,3,4,1,48,6,1,10,54,synthetic
1.5,4,3,3,1,48,36,6,3,46,synthetic
1,5,2,4,1,48,22,2,3,48,synthetic
5,1,4,4,0,0,14,4,2,24,synthetic
4,2,2,2,0,0,54,6,4,48,synthetic
3,5,3,2,1,36,78,4,3,46,synthetic
1.5,5,4,5,1,12,48,5,3,10,synthetic
1.5,3,2,2,0,0,5,7,3,48,synthetic
5,1,1,3,0,0,100,1,5,98,synthetic
1,4,3,3,0,0,1,3,10,72,synthetic
1,4,2,4,1,48,83,1,14,66,synthetic
1.5,3,3,3,0,0,27,1,5,74.0,synthetic
5,3,2,3,0,0,37,4,2,24,synthetic
1,5,1,2,0,0,9,5,7,91,synthetic
6,3,4,4,0,0,61,2,7,94,synthetic
6,5,1,3,0,0,41,2,1,24,synthetic
6,3,3,4,0,0,81,1,14,107,synthetic
6,2,4,3,0,0,68,5,7,75,synthetic
0.5,4,1,1,0,0,40,6,5,78.0,synthetic
4,1,4,3,0,0,52,2,5,61,synthetic
6,1,3,5,0,0,83,1,5,94,synthetic
0.5,5,1,3,0,0,65,2,2,24,synthetic
0.5,1,1,1,1,6,38,7,14,4,synthetic
3,5,2,1,1,18,58,5,7,22,synthetic
5,5,2,2,1,72,17,2,10,78,synthetic
6,1,3,1,0,0,21,6,2,24,synthetic
5,3,1,1,0,0,3,4,10,88,synthetic
5,1,4,5,1,18,78,1,3,36,synthetic
5,1,4,1,1,48,76,2,5,66,synthetic
1,1,4,4,0,0,80,6,3,48,synthetic
3,5,3,1,0,0,85,3,2,24,synthetic
1.5,5,2,3,1,6,93,3,14,16,synthetic
4,3,4,4,0,0,71,3,2,24,synthetic
1.5,2,2,4,0,0,88,3,4,48,synthetic
0.5,3,2,4,0,0,97,4,10,84.0,synthetic
3,2,3,3,1,24,96,5,7,34,synthetic
3,2,2,3,0,0,5,5,4,48,synthetic
1,4,2,1,1,12,17,5,1,10,synthetic
6,5,1,3,0,0,21,2,3,48,synthetic
1,4,2,5,0,0,72,1,3,48,synthetic
0.5,4,3,3,0,0,85,5,5,82.0,synthetic
5,5,4,2,1,36,92,1,1,24,synthetic
2,4,4,3,0,0,76,1,14,89,synthetic
0.5,5,3,4,1,72,5,6,1,24,synthetic
1,1,4,2,1,48,7,3,3,38,synthetic
4,4,2,2,1,72,59,6,3,48,synthetic
4,4,3,5,0,0,56,4,10,96,synthetic
1.5,5,3,1,0,0,56,3,2,24,synthetic
2,1,3,1,0,0,44,3,5,46,synthetic
4,3,2,1,1,24,88,5,2,24,synthetic
2,5,2,2,0,0,25,1,10,96,synthetic
3,4,2,2,0,0,23,1,1,24,synthetic
3,4,3,5,1,72,62,3,4,48,synthetic
0.5,4,3,5,1,6,9,2,2,12,synthetic
0.5,2,3,5,0,0,93,1,1,24,synthetic
4,4,1,1,0,0,88,5,4,48,synthetic
5,1,4,3,0,0,28,3,1,24,synthetic
3,1,3,5,0,0,28,6,2,24,synthetic
4,2,4,1,1,18,54,3,7,16,synthetic
6,1,4,4,1,24,62,7,2,24,synthetic
6,2,1,1,1,6,100,1,14,24,synthetic
1,5,4,2,0,0,4,7,1,24,synthetic
4,4,3,1,0,0,33,2,14,86,synthetic
5,4,1,3,1,72,33,6,4,48,synthetic
5,2,2,4,0,0,23,6,3,48,synthetic
0.5,2,3,2,0,0,45,7,5,51.0,synthetic
1,3,2,3,1,24,70,4,1,24,synthetic
1.5,1,4,5,0,0,99,2,7,69.0,synthetic
4,3,1,5,1,18,64,1,3,30,synthetic
5,2,3,5,0,0,9,4,7,78,synthetic
4,1,2,2,1,24,67,6,4,28,synthetic
0.5,5,3,1,1,36,51,7,14,34,synthetic
3,1,4,5,1,36,27,6,14,34,synthetic
4,1,1,5,1,48,21,5,5,46,synthetic
0.5,4,3,2,1,48,95,4,3,48,synthetic
6,1,1,1,0,0,6,3,3,48,synthetic
3,1,1,5,0,0,61,5,4,48,synthetic
2,1,4,3,1,6,74,7,5,10,synthetic
3,1,3,3,1,18,47,1,5,24,synthetic
4,2,1,3,1,72,36,4,7,70,synthetic
4,2,3,2,0,0,90,1,10,85,synthetic
3,1,2,2,1,6,87,2,10,24,synthetic
1.5,2,2,1,0,0,47,5,4,48,synthetic
1,4,2,1,1,72,9,1,2,24,synthetic
0.5,5,3,1,0,0,94,1,2,24,synthetic
1,2,1,3,0,0,40,7,4,48,synthetic
4,5,3,1,1,36,43,1,10,42,synthetic
5,3,3,5,0,0,81,2,10,106,synthetic
2,3,1,4,1,36,90,5,5,46,synthetic
3,3,4,1,1,18,11,4,5,16,synthetic
4,4,3,5,1,24,73,5,1,24,synthetic
4,2,4,4,1,24,49,2,4,30,synthetic
2,3,3,2,0,0,69,6,3,48,synthetic
3,5,3,5,0,0,96,3,2,24,synthetic
0.5,2,3,2,1,6,91,5,14,16,synthetic
5,3,4,1,1,36,64,1,4,48,synthetic
2,4,2,5,0,0,98,2,7,109,synthetic
6,5,2,1,1,6,33,2,14,12,synthetic
1.5,1,1,5,1,18,43,7,7,16,synthetic
6,5,1,5,1,24,32,5,7,22,synthetic
0.5,1,3,2,1,6,28,2,5,12,synthetic
5,5,1,2,0,0,86,2,3,48,synthetic
5,2,1,3,1,48,69,5,10,52,synthetic
3,4,4,3,1,72,5,7,7,70,synthetic
6,2,3,4,1,72,90,5,2,24,synthetic
6,5,1,2,1,48,16,7,2,24,synthetic
3,3,4,2,0,0,54,5,3,48,synthetic
2,3,3,1,0,0,68,5,14,68,synthetic
1,2,1,1,0,0,51,2,7,72,synthetic
6,5,4,1,0,0,70,7,7,93,synthetic
0.5,3,2,5,1,6,57,4,5,10,synthetic
1,4,3,2,0,0,24,3,1,24,synthetic
2,1,4,5,0,0,57,2,7,65,synthetic
5,4,2,5,1,18,7,1,3,24,synthetic
1,5,2,3,0,0,73,7,10,93,synthetic
3,4,2,5,1,24,81,3,10,34,synthetic
1.5,2,1,3,0,0,10,1,1,24,synthetic
4,2,4,1,0,0,95,4,1,24,synthetic
0.5,3,3,2,1,6,16,2,4,12,synthetic
2,3,4,2,1,72,52,4,10,58,synthetic
2,2,1,5,0,0,25,5,10,80,synthetic
0.5,1,3,5,1,24,24,6,5,22,synthetic
5,1,1,5,1,18,10,6,7,16,synthetic
4,1,3,2,0,0,12,5,2,24,synthetic
1.5,4,3,1,1,18,2,7,10,16,synthetic
5,5,4,5,1,18,27,3,10,16,synthetic
5,5,4,3,0,0,48,6,14,89,synthetic
5,3,4,5,0,0,25,1,3,48,synthetic
1.5,5,1,1,1,24,15,3,14,22,synthetic
6,2,4,4,0,0,80,5,14,84,synthetic
5,5,3,3,1,48,62,5,2,24,synthetic
1,3,4,2,1,48,1,7,3,46,synthetic
6,4,1,5,0,0,7,2,1,24,synthetic
1,1,2,5,0,0,55,7,2,24,synthetic
1,3,2,3,1,24,29,1,2,24,synthetic
1,4,2,2,0,0,62,3,5,82,synthetic
0.5,4,3,4,1,36,39,3,2,24,synthetic
2,4,3,2,1,12,99,2,14,30,synthetic
4,4,4,3,0,0,57,5,2,24,synthetic
4,3,4,2,1,36,87,3,3,46,synthetic
2,4,2,3,1,6,68,2,4,18,synthetic
0.5,1,2,1,0,0,49,6,5,47.0,synthetic
2,3,1,4,1,48,15,1,3,48,synthetic
3,4,1,4,0,0,70,1,10,111,synthetic
1.5,4,4,4,0,0,50,1,2,24,synthetic
1,4,2,3,0,0,80,4,2,24,synthetic
1.5,2,2,3,1,12,49,7,1,10,synthetic
0.5,3,1,1,1,48,2,6,10,46,synthetic
2,3,4,3,1,72,70,1,1,24,synthetic
4,3,2,1,0,0,27,6,10,77,synthetic
4,4,2,3,1,24,4,3,3,22,synthetic
1,2,2,2,1,24,80,2,3,42,synthetic
0.5,3,3,5,0,0,6,6,14,68.0,synthetic
0.5,4,2,4,1,12,28,7,5,10,synthetic
1.5,4,1,2,1,12,68,4,2,16,synthetic
1.5,1,2,5,0,0,61,5,5,69.0,synthetic
5,3,2,4,0,0,64,2,2,24,synthetic
1.5,3,4,3,0,0,72,5,3,48,synthetic
1.5,1,3,5,1,48,22,5,14,46,synthetic
4,1,4,4,1,6,26,3,1,4,synthetic
0.5,3,2,3,0,0,98,4,5,81.0,synthetic
4,5,2,5,1,6,87,4,10,16,synthetic
1.5,3,4,3,1,24,10,6,4,22,synthetic
1,4,2,2,1,12,83,3,2,22,synthetic
0.5,1,4,2,1,36,22,1,10,42,synthetic
6,3,1,2,0,0,6,2,1,24,synthetic
0.5,4,1,3,0,0,15,7,3,48,synthetic
0.5,5,1,2,1,18,95,3,7,28,synthetic
4,5,3,3,0,0,27,4,2,24,synthetic
3,2,4,3,0,0,4,1,1,24,synthetic
2,1,3,2,0,0,40,6,5,49,synthetic
5,3,2,2,0,0,84,1,4,48,synthetic
2,2,4,4,1,24,12,3,1,22,synthetic
4,2,1,5,0,0,24,5,14,88,synthetic
1.5,3,3,1,0,0,21,6,1,24,synthetic
1.5,1,4,4,0,0,88,1,14,66.0,synthetic
1,5,1,3,1,6,47,5,5,4,synthetic
3,5,2,1,1,18,37,7,3,16,synthetic
5,2,3,5,1,18,48,3,10,16,synthetic
4,4,2,3,0,0,48,1,14,99,synthetic
3,5,3,1,0,0,39,2,14,90,synthetic
1,5,3,5,0,0,69,4,3,48,synthetic
2,2,4,4,0,0,90,3,3,48,synthetic
1.5,1,1,3,0,0,85,7,14,76.0,synthetic
6,3,3,3,0,0,51,7,4,48,synthetic
0.5,4,1,3,0,0,17,5,2,24,synthetic
6,2,4,1,0,0,62,4,2,24,synthetic
4,2,4,3,0,0,66,7,4,48,synthetic
5,5,4,5,0,0,24,1,10,103,synthetic
1.5,5,3,3,0,0,51,3,7,82.0,synthetic
3,1,1,5,0,0,12,4,1,24,synthetic
0.5,5,3,4,0,0,36,3,4,48,synthetic
3,5,4,5,0,0,13,6,5,87,synthetic
4,5,4,5,0,0,17,7,5,91,synthetic
0.5,4,3,1,1,18,73,3,10,22,synthetic
6,4,4,4,0,0,48,5,4,48,synthetic
1.5,5,2,3,1,36,67,6,5,40,synthetic
3,4,2,2,0,0,17,3,14,84,synthetic
1,2,4,2,1,72,96,5,7,58,synthetic
6,5,1,1,0,0,52,4,10,108,synthetic
2,1,1,1,0,0,77,1,4,48,synthetic
0.5,5,1,2,0,0,46,1,7,97.0,synthetic
3,5,1,1,1,48,75,7,1,24,synthetic
1,2,3,1,0,0,71,6,1,24,synthetic
2,4,2,4,0,0,21,7,2,24,synthetic
1.5,4,1,1,1,18,25,1,14,24,synthetic
4,1,4,2,0,0,64,7,7,56,synthetic
5,4,4,5,1,12,0,5,7,10,synthetic
5,4,4,2,1,48,50,4,5,46,synthetic
3,5,4,3,1,6,95,3,5,16,synthetic
6,2,1,3,1,72,59,3,2,24,synthetic
1,1,3,5,1,36,41,7,2,24,synthetic
1.5,5,3,5,0,0,2,2,10,96.0,synthetic
6,5,4,2,1,72,94,6,14,82,synthetic
0.5,4,3,5,1,18,21,6,2,16,synthetic
2,2,4,4,0,0,66,6,4,48,synthetic
6,1,1,3,1,18,50,1,14,24,synthetic
4,3,3,3,1,24,65,7,10,28,synthetic
5,4,2,5,1,36,86,7,10,46,synthetic
3,1,4,2,0,0,57,1,1,24,synthetic
6,4,3,2,1,12,92,6,3,22,synthetic
5,4,4,2,0,0,33,7,14,78,synthetic
3,3,4,5,1,24,70,4,5,28,synthetic
2,2,3,4,0,0,29,7,5,63,synthetic
4,1,3,2,0,0,25,3,5,57,synthetic
0.5,3,1,1,0,0,56,6,14,76.0,synthetic
3,1,4,4,1,6,13,3,2,4,synthetic
5,3,4,1,0,0,60,3,1,24,synthetic
4,2,2,1,1,72,87,2,4,48,synthetic
1,4,1,3,0,0,86,7,1,24,synthetic
6,3,4,4,1,36,86,6,3,46,synthetic
5,4,4,5,0,0,74,4,14,93,synthetic
4,3,2,3,0,0,95,1,7,103,synthetic
1.5,5,2,3,0,0,54,6,5,89.0,synthetic
3,4,2,2,0,0,57,1,2,24,synthetic
5,2,2,1,1,6,58,1,10,18,synthetic
5,2,3,2,0,0,90,3,1,24,synthetic
0.5,1,4,1,0,0,11,7,7,33.0,synthetic
3,3,3,4,1,6,64,3,7,10,synthetic
3,2,2,2,0,0,54,2,3,48,synthetic
6,5,3,3,0,0,26,1,3,48,synthetic
5,3,4,5,1,72,71,5,10,76,synthetic
1,1,2,2,1,24,73,5,10,28,synthetic
0.5,3,3,1,0,0,66,6,4,48,synthetic
2,2,4,4,1,72,36,1,1,24,synthetic
2,3,3,5,1,18,48,7,2,16,synthetic
4,2,1,3,0,0,22,3,7,82,synthetic
1.5,2,4,3,0,0,50,2,4,48,synthetic
1.5,4,3,4,1,6,26,4,14,4,synthetic
2,3,2,4,1,12,3,3,10,10,synthetic
1.5,2,4,3,1,36,16,3,5,34,synthetic
5,4,3,3,1,6,87,4,3,16,synthetic
4,1,3,2,0,0,89,7,3,48,synthetic
3,2,2,3,0,0,77,4,1,24,synthetic
0.5,3,2,5,0,0,34,7,14,75.0,synthetic
0.5,2,3,4,0,0,67,6,3,48,synthetic
1.5,5,2,5,1,48,56,3,1,24,synthetic
2,5,1,4,1,36,62,5,10,40,synthetic
1,3,2,4,1,72,47,3,7,70,synthetic
4,3,4,3,1,36,75,4,5,40,synthetic
1,1,3,1,0,0,83,7,14,54,synthetic
0.5,3,4,2,0,0,86,4,14,64.0,synthetic
1.5,3,1,3,1,72,79,6,5,82,synthetic
6,3,4,4,0,0,2,3,2,24,synthetic
1.5,2,1,2,0,0,18,2,3,48,synthetic
6,4,1,5,1,36,84,3,4,46,synthetic
0.5,1,3,1,0,0,65,4,5,46.0,synthetic
4,1,3,3,1,72,50,2,14,68,synthetic
1,1,1,1,1,24,33,2,7,30,synthetic
6,3,3,4,1,24,29,5,1,22,synthetic
4,4,1,5,0,0,36,2,7,112,synthetic
1.5,5,1,4,0,0,89,5,10,111.0,synthetic
4,2,4,4,0,0,55,2,5,72,synthetic
1.5,2,3,5,0,0,85,6,5,76.0,synthetic
4,5,3,5,1,18,82,4,4,28,synthetic
4,2,1,5,1,6,36,5,5,4,synthetic
4,3,3,4,0,0,96,2,10,99,synthetic
1.5,3,1,5,0,0,19,3,1,24,synthetic
5,5,3,5,1,48,69,7,4,48,synthetic
5,5,1,5,1,18,42,7,7,16,synthetic
0.5,2,3,5,1,36,89,1,14,54,synthetic
6,5,3,1,1,12,39,6,14,10,synthetic
4,1,4,1,0,0,65,6,3,48,synthetic
3,1,2,2,0,0,72,3,14,66,synthetic
1.5,2,2,1,1,24,85,2,2,24,synthetic
0.5,2,3,2,1,36,46,5,5,34,synthetic
1,4,2,3,0,0,10,1,2,24,synthetic
1.5,1,3,5,0,0,33,3,10,56.0,synthetic
6,4,4,4,0,0,33,5,2,24,synthetic
4,2,4,4,1,24,61,3,5,28,synthetic
5,3,3,4,1,36,84,3,14,46,synthetic
4,3,1,5,0,0,95,4,2,24,synthetic
5,1,1,4,1,36,59,4,7,40,synthetic
1,5,3,3,0,0,47,3,4,48,synthetic
3,5,3,2,0,0,31,5,1,24,synthetic
6,1,2,1,0,0,43,3,14,69,synthetic
2,2,1,1,1,24,83,1,4,42,synthetic
2,2,3,1,0,0,4,7,14,54,synthetic
6,5,4,4,0,0,78,4,1,24,synthetic
6,2,4,4,1,6,90,6,3,16,synthetic
5,5,1,4,0,0,74,1,1,24,synthetic
3,4,3,1,1,72,24,2,4,48,synthetic
5,2,1,5,0,0,43,5,4,48,synthetic
1,3,1,4,0,0,24,4,10,81,synthetic
3,3,3,4,1,18,18,1,3,24,synthetic
0.5,5,1,4,0,0,5,6,2,24,synthetic
2,1,2,1,0,0,50,2,4,48,synthetic
5,3,1,2,1,72,78,3,3,48,synthetic
4,2,4,1,0,0,11,2,2,24,synthetic
0.5,3,3,5,1,48,31,6,5,46,synthetic
4,4,1,4,1,24,50,4,2,22,synthetic
1.5,5,1,4,1,12,44,6,7,10,synthetic
2,4,3,1,1,72,27,1,10,78,synthetic
0.5,3,2,2,1,12,75,3,7,16,synthetic
4,4,4,2,0,0,3,7,3,48,synthetic
6,4,3,5,0,0,90,5,7,110,synthetic
3,5,2,2,1,48,94,5,2,24,synthetic
1,1,2,2,0,0,59,5,3,48,synthetic
4,4,1,2,1,12,14,2,1,18,synthetic
3,2,4,5,1,6,65,6,4,10,synthetic
4,2,1,3,0,0,11,5,14,82,synthetic
